Date,Sales
2022-10-14,1012563.34
2022-10-15,613116.71
2022-10-16,492720.12
2022-10-17,963533.38
2022-10-18,951864.15
2022-10-19,1019973.35
2022-10-20,1083662.45
2022-10-21,1056708.43
2022-10-22,612801.89
2022-10-23,449482.90
2022-10-24,974668.48
2022-10-25,1015395.92
2022-10-26,1020951.26
2022-10-27,1169382.18
2022-10-28,1064178.92
2022-10-29,684249.12
2022-10-30,524061.00
2022-10-31,1033701.11
2022-11-01,831810.62
2022-11-02,998018.47
2022-11-03,1139877.30
2022-11-04,1036062.73
2022-11-05,640382.01
2022-11-06,532232.48
2022-11-07,1047721.06
2022-11-08,1007726.81
2022-11-09,1103004.81
2022-11-10,1194781.04
2022-11-11,1122428.47
2022-11-12,733831.23
2022-11-13,538013.41
2022-11-14,1053734.78
2022-11-15,1078053.35
2022-11-16,1120184.29
2022-11-17,1191713.76
2022-11-18,1176876.05
2022-11-19,691644.29
2022-11-20,526386.53
2022-11-21,1087417.95
2022-11-22,1022584.93
2022-11-23,1097121.09
2022-11-24,1202362.87
2022-11-25,1092074.88
2022-11-26,707727.45
2022-11-27,571155.69
2022-11-28,1164327.57
2022-11-29,1220229.76
2022-11-30,1225091.17
2022-12-01,1162079.55
2022-12-02,1075739.64
2022-12-03,731376.78
2022-12-04,577454.60
2022-12-05,1227210.24
2022-12-06,1127547.58
2022-12-07,1212430.77
2022-12-08,1340439.69
2022-12-09,1218755.95
2022-12-10,913746.62
2022-12-11,583491.05
2022-12-12,1235802.27
2022-12-13,1170892.64
2022-12-14,1277074.06
2022-12-15,1346814.29
2022-12-16,1270206.86
2022-12-17,848626.98
2022-12-18,682877.29
2022-12-19,1365251.18
2022-12-20,1453228.20
2022-12-21,1480179.25
2022-12-22,1596115.70
2022-12-23,1578696.20
2022-12-24,864870.82
2022-12-25,18498.30
2022-12-26,300355.36
2022-12-27,646521.49
2022-12-28,1342800.44
2022-12-29,1428917.43
2022-12-30,1333155.21
2022-12-31,920469.58
2023-01-01,109501.33
2023-01-02,430710.75
2023-01-03,1062684.92
2023-01-04,990013.97
2023-01-05,1083466.00
2023-01-06,984363.66
2023-01-07,588580.42
2023-01-08,445207.56
2023-01-09,1015512.50
2023-01-10,964212.24
2023-01-11,1010581.58
2023-01-12,1113054.11
2023-01-13,1066234.25
2023-01-14,589753.15
2023-01-15,445207.01
2023-01-16,960692.83
2023-01-17,898563.62
2023-01-18,932021.00
2023-01-19,1022093.37
2023-01-20,1049850.69
2023-01-21,599576.31
2023-01-22,419196.47
2023-01-23,905644.28
2023-01-24,867993.65
2023-01-25,1023965.79
2023-01-26,302462.98
2023-01-27,1154949.51
2023-01-28,654692.92
2023-01-29,486304.16
2023-01-30,989174.08
2023-01-31,1077826.61
2023-02-01,956400.63
2023-02-02,1048697.20
2023-02-03,1089221.44
2023-02-04,720323.09
2023-02-05,442322.77
2023-02-06,980435.23
2023-02-07,950390.81
2023-02-08,899623.68
2023-02-09,953109.12
2023-02-10,1033504.78
2023-02-11,694603.85
2023-02-12,467093.99
2023-02-13,965454.39
2023-02-14,894316.84
2023-02-15,970121.03
2023-02-16,1058087.71
2023-02-17,984719.47
2023-02-18,608091.95
2023-02-19,430908.75
2023-02-20,993106.67
2023-02-21,901864.05
2023-02-22,921524.32
2023-02-23,1024615.66
2023-02-24,987083.88
2023-02-25,655531.59
2023-02-26,450422.48
2023-02-27,987299.41
2023-02-28,982757.59
2023-03-01,999519.97
2023-03-02,1074949.87
2023-03-03,1044880.89
2023-03-04,678987.04
2023-03-05,417326.79
2023-03-06,887521.26
2023-03-07,958233.59
2023-03-08,1026135.99
2023-03-09,1073597.41
2023-03-10,1068627.66
2023-03-11,637740.47
2023-03-12,462085.11
2023-03-13,887749.37
2023-03-14,955437.57
2023-03-15,1017439.31
2023-03-16,1128032.90
2023-03-17,1071804.55
2023-03-18,623084.17
2023-03-19,509908.65
2023-03-20,1024857.26
2023-03-21,981663.73
2023-03-22,914828.28
2023-03-23,1021593.90
2023-03-24,1010327.78
2023-03-25,630563.61
2023-03-26,478011.06
2023-03-27,964249.35
2023-03-28,954432.94
2023-03-29,1062865.39
2023-03-30,1120580.30
2023-03-31,1042534.51
2023-04-01,718877.06
2023-04-02,479131.05
2023-04-03,1020384.90
2023-04-04,1108170.99
2023-04-05,1146413.81
2023-04-06,1377957.81
2023-04-07,73032.14
2023-04-08,798267.26
2023-04-09,165496.94
2023-04-10,444895.57
2023-04-11,1169621.75
2023-04-12,1168477.41
2023-04-13,1153184.78
2023-04-14,1156088.06
2023-04-15,704439.91
2023-04-16,456344.36
2023-04-17,1052390.71
2023-04-18,997115.72
2023-04-19,1048070.68
2023-04-20,1165162.52
2023-04-21,1105709.17
2023-04-22,666500.25
2023-04-23,474582.72
2023-04-24,1087118.28
2023-04-25,156533.89
2023-04-26,1261057.84
2023-04-27,1259554.31
2023-04-28,1216096.35
2023-04-29,773262.77
2023-04-30,501588.21
2023-05-01,970445.37
2023-05-02,1063658.49
2023-05-03,1049287.62
2023-05-04,1178799.74
2023-05-05,1109088.81
2023-05-06,675829.01
2023-05-07,494478.26
2023-05-08,983906.89
2023-05-09,977106.45
2023-05-10,1019909.04
2023-05-11,1122032.28
2023-05-12,1114948.91
2023-05-13,734467.98
2023-05-14,441191.38
2023-05-15,1068228.70
2023-05-16,1020101.69
2023-05-17,1047671.28
2023-05-18,1068716.35
2023-05-19,1065893.55
2023-05-20,708693.42
2023-05-21,535415.38
2023-05-22,1061006.61
2023-05-23,1001396.98
2023-05-24,1095193.10
2023-05-25,1118814.98
2023-05-26,1074661.87
2023-05-27,707834.03
2023-05-28,489469.01
2023-05-29,1097570.54
2023-05-30,1016213.44
2023-05-31,1031450.92
2023-06-01,1096148.59
2023-06-02,1097713.89
2023-06-03,725126.61
2023-06-04,489551.75
2023-06-05,987382.85
2023-06-06,1090216.27
2023-06-07,1092006.46
2023-06-08,1159957.47
2023-06-09,1073890.68
2023-06-10,676776.89
2023-06-11,485047.21
2023-06-12,472555.42
2023-06-13,1086608.11
2023-06-14,1158261.85
2023-06-15,1136650.26
2023-06-16,1094932.43
2023-06-17,733937.17
2023-06-18,504562.37
2023-06-19,996030.53
2023-06-20,1006338.18
2023-06-21,1006150.26
2023-06-22,1153465.29
2023-06-23,1057598.02
2023-06-24,678073.36
2023-06-25,496015.22
2023-06-26,988096.27
2023-06-27,1028724.87
2023-06-28,1109990.00
2023-06-29,1156294.66
2023-06-30,1107059.18
2023-07-01,652370.45
2023-07-02,494144.89
2023-07-03,1014498.57
2023-07-04,985595.05
2023-07-05,1035678.29
2023-07-06,1180894.80
2023-07-07,1027872.54
2023-07-08,675111.00
2023-07-09,532013.61
2023-07-10,1009437.53
2023-07-11,1003762.58
2023-07-12,1023469.89
2023-07-13,1081956.71
2023-07-14,1100524.56
2023-07-15,663457.24
2023-07-16,488433.04
2023-07-17,1017121.91
2023-07-18,1014190.12
2023-07-19,1029924.75
2023-07-20,1076602.47
2023-07-21,999285.71
2023-07-22,657851.78
2023-07-23,490798.61
2023-07-24,1021368.94
2023-07-25,976865.77
2023-07-26,1125405.64
2023-07-27,1060557.21
2023-07-28,1023892.03
2023-07-29,711191.60
2023-07-30,528209.21
2023-07-31,1019957.38
2023-08-01,1019387.91
2023-08-02,1057137.96
2023-08-03,1167044.87
2023-08-04,1095931.21
2023-08-05,648231.25
2023-08-06,479191.84
2023-08-07,941349.91
2023-08-08,996361.99
2023-08-09,1104443.14
2023-08-10,1061370.86
2023-08-11,1091182.29
2023-08-12,669814.90
2023-08-13,479817.79
2023-08-14,992831.00
2023-08-15,1016820.70
2023-08-16,1124723.49
2023-08-17,1160967.96
2023-08-18,1073060.86
2023-08-19,672717.12
2023-08-20,528639.57
2023-08-21,1052920.01
2023-08-22,966214.36
2023-08-23,1075781.80
2023-08-24,1123127.59
2023-08-25,1043390.83
2023-08-26,634437.14
2023-08-27,505159.75
2023-08-28,1071584.64
2023-08-29,1014280.69
2023-08-30,1094190.20
2023-08-31,1172217.72
2023-09-01,1100320.21
2023-09-02,692885.77
2023-09-03,449837.01
2023-09-04,1031890.97
2023-09-05,1031608.26
2023-09-06,1123785.30
2023-09-07,1125975.57
2023-09-08,1050072.42
2023-09-09,675521.06
2023-09-10,512640.50
2023-09-11,1097467.75
2023-09-12,1000886.12
2023-09-13,1112600.09
2023-09-14,1116945.59
2023-09-15,1132649.57
2023-09-16,713795.88
2023-09-17,534351.23
2023-09-18,1072210.01
2023-09-19,1127706.50
2023-09-20,1121229.47
2023-09-21,1135276.50
2023-09-22,1103894.40
2023-09-23,682224.29
2023-09-24,490531.47
2023-09-25,978535.15
2023-09-26,1010513.47
2023-09-27,1112394.55
2023-09-28,1212252.03
2023-09-29,1012627.49
2023-09-30,752613.79
2023-10-01,418089.61
2023-10-02,566239.30
2023-10-03,1152047.04
2023-10-04,1077562.13
2023-10-05,1144737.60
2023-10-06,1245258.10
2023-10-07,669010.84
2023-10-08,504573.45
2023-10-09,1063952.91
2023-10-10,1006179.29
2023-10-11,1144831.37
2023-10-12,1157353.72
2023-10-13,1108317.92
2023-10-14,705664.23
2023-10-15,521216.96
2023-10-16,1044335.31
2023-10-17,1076501.71
2023-10-18,1107354.98
2023-10-19,1054044.87
2023-10-20,1133994.02
2023-10-21,717575.30
2023-10-22,526566.69
2023-10-23,1050552.02
2023-10-24,1047694.32
2023-10-25,1067885.66
2023-10-26,1196964.45
2023-10-27,1195230.45
2023-10-28,695179.54
2023-10-29,546165.20
2023-10-30,1087096.51
2023-10-31,1133864.70
2023-11-01,1100889.08
2023-11-02,1152651.39
2023-11-03,1187552.84
2023-11-04,725622.67
2023-11-05,540089.10
2023-11-06,1071553.58
2023-11-07,1035308.19
2023-11-08,1143677.93
2023-11-09,1223961.89
2023-11-10,1172640.36
2023-11-11,733213.32
2023-11-12,524780.89
2023-11-13,1187439.56
2023-11-14,1085864.44
2023-11-15,1087259.56
2023-11-16,1158256.97
2023-11-17,1220396.12
2023-11-18,739219.11
2023-11-19,558735.14
2023-11-20,1134199.01
2023-11-21,1178187.77
2023-11-22,1131342.00
2023-11-23,1225307.94
2023-11-24,1231004.50
2023-11-25,725178.71
2023-11-26,574328.18
2023-11-27,1130683.08
2023-11-28,1114889.50
2023-11-29,1177581.68
2023-11-30,1330557.71
2023-12-01,1130481.51
2023-12-02,721824.98
2023-12-03,532536.01
2023-12-04,1215198.17
2023-12-05,1097383.88
2023-12-06,1197868.63
2023-12-07,1203274.65
2023-12-08,1263553.59
2023-12-09,729704.52
2023-12-10,624821.60
2023-12-11,1225983.68
2023-12-12,1201636.32
2023-12-13,1186681.19
2023-12-14,1230934.13
2023-12-15,1363198.28
2023-12-16,877071.74
2023-12-17,571241.74
2023-12-18,1351611.48
2023-12-19,1342561.10
2023-12-20,1378890.94
2023-12-21,1598470.84
2023-12-22,1706689.74
2023-12-23,997329.32
2023-12-24,687790.63
2023-12-25,17906.41
2023-12-26,279586.54
2023-12-27,1199873.53
2023-12-28,1407637.21
2023-12-29,1453419.83
2023-12-30,889388.25
2023-12-31,743695.18
